2026-03-10 14:07:12 - {'id': 1127, 'session_id': '108.177.15.109:993_192.168.137.187:53970', 'timestamp': '2026-03-10T12:05:13.315160000Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '108.177.15.109', 'dst_ip': '192.168.137.187', 'src_port': '993', 'dst_port': '53970', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 173, 'session_id': '142.250.75.170:443_192.168.137.187:64510', 'timestamp': '2026-03-10T12:05:03.954549100Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '142.250.75.170', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64510', 'seq_num': 1, 'ack_num': 1349, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '1061'}
2026-03-10 14:07:12 - {'id': 215, 'session_id': '142.250.75.197:443_192.168.137.187:64512', 'timestamp': '2026-03-10T12:05:04.234524700Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '142.250.75.197', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64512', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 280, 'session_id': '142.250.75.33:443_192.168.137.187:64513', 'timestamp': '2026-03-10T12:05:04.549415500Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '142.250.75.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64513', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 430, 'session_id': '142.250.75.42:443_192.168.137.187:64514', 'timestamp': '2026-03-10T12:05:05.598884300Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '142.250.75.42', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64514', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1053, 'session_id': '17.8.136.172:443_192.168.137.187:64516', 'timestamp': '2026-03-10T12:05:06.357141700Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '17.8.136.172', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64516', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0052', 'win_size': '26847'}
2026-03-10 14:07:12 - {'id': 362, 'session_id': '192.168.137.187:53968_57.144.248.144:443', 'timestamp': '2026-03-10T12:05:05.227113200Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.248.144', 'src_port': '53968', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 167, 'session_id': '57.144.245.33:443_192.168.137.187:53966', 'timestamp': '2026-03-10T12:03:28.848103100Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53966', 'seq_num': 628, 'ack_num': 1285, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '297'}
2026-03-10 14:07:12 - {'id': 377, 'session_id': '57.144.245.33:443_192.168.137.187:53969', 'timestamp': '2026-03-10T12:05:05.404867000Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53969', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1149, 'session_id': '108.177.15.109:993_192.168.137.187:53970', 'timestamp': '2026-03-10T12:05:14.044125500Z', 'protocol': 'TLS', 'length': 363, 'src_ip': '108.177.15.109', 'dst_ip': '192.168.137.187', 'src_port': '993', 'dst_port': '53970', 'seq_num': 4499, 'ack_num': 812, 'tcp_payload_len': 297, 'tcp_flags': '0x0018', 'win_size': '1050'}
